type,step,loss
T,0,37.0977
V*,0,36.4694
T,500,5.34866
V*,500,5.5087
T,1000,4.01301
V*,1000,4.48617
T,1500,3.90346
V*,1500,4.43095
T,2000,4.11825
V,2000,4.56495
T,2500,3.8793
V*,2500,4.4307
T,3000,3.86973
V*,3000,4.26387
T,3500,3.70071
V*,3500,4.25919
T,4000,3.76624
V*,4000,4.18084
T,4500,3.81056
V,4500,4.2096
T,5000,3.87869
V,5000,4.4179
T,5500,3.67489
V,5500,4.27526
T,6000,3.92367
V,6000,4.50567
T,6500,3.50565
V*,6500,3.99934
T,7000,3.44683
V,7000,4.02623
T,7500,3.4738
V,7500,4.02249
T,8000,3.68344
V,8000,4.36378
T,8500,3.35188
V,8500,4.00928
T,9000,3.6685
V,9000,4.22466
T,9500,3.27236
V*,9500,3.92745
T,10000,3.50911
V,10000,4.19765
T,10500,3.45767
V,10500,3.98141
T,11000,3.60281
V,11000,4.176
T,11500,3.52681
V,11500,4.21628
T,12000,3.60552
V,12000,4.24117
T,12500,3.25164
V,12500,3.98934
T,13000,3.331
V,13000,4.06693
T,13500,3.53233
V,13500,4.19238
T,14000,3.33913
V,14000,4.14995
T,14500,3.30272
V,14500,4.04709
T,15000,3.25963
V,15000,4.08093
T,15500,3.16818
V,15500,4.02236
T,16000,3.61336
V,16000,4.44821
T,16500,3.51614
V,16500,4.19367
T,17000,3.15809
V,17000,4.04679
T,17500,3.0863
V,17500,4.00813
T,18000,2.93579
V*,18000,3.90518
T,18500,3.05988
V,18500,4.02121
T,19000,3.34221
V,19000,4.12187
T,19500,3.10597
V,19500,4.00034
T,20000,3.00258
V,20000,4.03426
T,20500,2.93228
V*,20500,3.87066
T,21000,2.91924
V*,21000,3.86815
T,21500,2.93092
V,21500,3.90231
T,22000,3.21609
V,22000,4.08742
T,22500,3.00366
V,22500,4.03265
T,23000,2.93966
V,23000,3.92207
T,23500,2.78171
V*,23500,3.86116
T,24000,2.93308
V,24000,3.8801
T,24500,2.85792
V,24500,3.91081
T,25000,2.89996
V,25000,3.93965
T,25500,2.72199
V*,25500,3.79997
T,26000,2.88259
V,26000,3.90475
T,26500,2.74746
V,26500,3.86181
T,27000,2.81934
V,27000,4.00021
T,27500,2.88718
V,27500,4.03174
T,28000,2.68574
V,28000,3.8208
T,28500,2.81931
V,28500,3.90828
T,29000,2.66333
V,29000,3.83796
T,29500,2.78336
V,29500,4.02172
T,30000,2.83521
V,30000,3.9941
T,30500,2.71638
V,30500,3.9242
T,31000,2.65262
V,31000,3.87478
T,31500,2.52011
V,31500,3.80216
T,32000,2.76357
V,32000,3.92109
T,32500,2.62617
V,32500,3.94894
T,33000,2.63447
V,33000,3.80681
T,33500,2.5429
V,33500,3.81875
T,34000,2.57333
V*,34000,3.77637
T,34500,2.66721
V,34500,3.88754
T,35000,2.57108
V,35000,3.80776
T,35500,2.73785
V,35500,4.00961
T,36000,2.42125
V,36000,3.82297
T,36500,2.46885
V,36500,3.81125
T,37000,2.4387
V*,37000,3.76541
T,37500,2.77574
V,37500,4.00482
T,38000,2.40998
V,38000,3.82027
T,38500,2.6196
V,38500,3.93112
T,39000,2.50709
V,39000,3.85686
T,39500,2.40228
V*,39500,3.72119
T,40000,2.28709
V,40000,3.73845
T,40500,2.46168
V,40500,3.76515
T,41000,2.46153
V,41000,3.80777
T,41500,2.46495
V,41500,3.84825
T,42000,2.45471
V,42000,3.7939
T,42500,2.46806
V,42500,3.84857
T,43000,2.46362
V,43000,3.83303
T,43500,2.43606
V,43500,3.81537
T,44000,2.43546
V,44000,3.84686
T,44500,2.36799
V,44500,3.82358
T,45000,2.36476
V,45000,3.77469
T,45500,2.47765
V,45500,3.9002
T,46000,2.29178
V*,46000,3.69126
T,46500,2.26772
V,46500,3.71737
T,47000,2.53198
V,47000,3.93147
T,47500,2.4064
V,47500,3.80238
T,48000,2.2794
V,48000,3.77278
T,48500,2.23399
V,48500,3.76498
T,49000,2.27358
V,49000,3.75033
T,49500,2.26279
V,49500,3.75474
T,50000,2.29379
V,50000,3.70723
T,50500,2.23213
V,50500,3.78627
T,51000,2.24602
V,51000,3.71574
T,51500,2.3827
V,51500,3.85225
T,52000,2.32665
V,52000,3.85674
T,52500,2.21556
V,52500,3.69983
T,53000,2.19564
V,53000,3.72724
T,53500,2.23087
V,53500,3.78018
T,54000,2.18978
V*,54000,3.65569
T,54500,2.20471
V,54500,3.72327
T,55000,2.22734
V,55000,3.67473
T,55500,2.12521
V,55500,3.70913
T,56000,2.22059
V,56000,3.78066
T,56500,2.29154
V,56500,3.79427
T,57000,2.17176
V,57000,3.72496
T,57500,2.10729
V,57500,3.67757
T,58000,2.15934
V,58000,3.73544
T,58500,2.14338
V,58500,3.70691
T,59000,2.0781
V,59000,3.68336
T,59500,2.112
V,59500,3.70457
T,60000,2.16587
V,60000,3.7405
T,60500,2.14766
V,60500,3.71416
T,61000,2.15137
V,61000,3.69909
T,61500,2.21065
V,61500,3.75554
T,62000,2.08174
V,62000,3.65964
T,62500,2.29693
V,62500,3.81752
T,63000,2.14119
V,63000,3.73287
T,63500,2.10112
V,63500,3.72675
T,64000,2.10632
V,64000,3.74553
T,64500,2.1671
V,64500,3.71669
T,65000,2.07716
V,65000,3.68663
T,65500,2.12888
V,65500,3.68892
T,66000,2.09458
V,66000,3.70859
T,66500,2.25583
V,66500,3.75808
T,67000,2.34853
V,67000,3.83431
T,67500,2.05138
V,67500,3.67544
T,68000,2.12525
V,68000,3.71091
T,68500,2.07074
V,68500,3.70881
T,69000,2.06583
V,69000,3.75169
T,69500,2.03634
V,69500,3.6935
T,70000,2.12805
V,70000,3.74795
T,70500,2.05804
V*,70500,3.65237
