type,step,loss
T,0,4.20381
V*,0,4.18895
T,500,0.0141349
T,1000,0.0141235
V*,1000,0.0150871
T,1500,0.0130239
T,2000,0.0126295
V*,2000,0.0129135
T,2500,0.0110146
T,3000,0.0111024
V*,3000,0.0122265
T,3500,0.0108958
T,4000,0.0104585
V*,4000,0.0120446
T,4500,0.0106952
T,5000,0.00991494
V*,5000,0.0115418
T,5500,0.0105274
T,6000,0.00970448
V*,6000,0.0107706
T,6500,0.00945651
T,7000,0.0103483
V*,7000,0.010469
T,7500,0.00979163
T,8000,0.00926911
V*,8000,0.0102158
T,8500,0.00877683
T,9000,0.00958816
V,9000,0.0107814
T,9500,0.00864483
T,10000,0.00872478
V*,10000,0.0100796
T,10500,0.00855606
T,11000,0.00883358
V*,11000,0.00972222
T,11500,0.00856931
T,12000,0.00902855
V*,12000,0.00967437
T,12500,0.00791852
T,13000,0.00915436
V*,13000,0.00913852
T,13500,0.00837221
T,14000,0.00798452
V,14000,0.00984217
T,14500,0.00892196
T,15000,0.0082297
V,15000,0.0100281
T,15500,0.00811541
T,16000,0.00904331
V,16000,0.0100687
T,16500,0.00816347
T,17000,0.00769169
V,17000,0.00965407
T,17500,0.0079665
T,18000,0.00806583
V,18000,0.00923801
T,18500,0.00789951
T,19000,0.00812445
V,19000,0.00919805
T,19500,0.00811104
T,20000,0.0079319
V*,20000,0.00894309
T,20500,0.00743795
T,21000,0.00848924
V,21000,0.00920858
T,21500,0.00761177
T,22000,0.00779078
V,22000,0.00895411
T,22500,0.00769602
T,23000,0.00788232
V,23000,0.00953563
T,23500,0.00809942
T,24000,0.00735034
V,24000,0.00914795
T,24500,0.00787843
T,25000,0.0084227
V*,25000,0.00864789
T,25500,0.00732281
T,26000,0.00812495
V,26000,0.00867705
T,26500,0.00729408
T,27000,0.00845952
V,27000,0.00924548
T,27500,0.00735264
T,28000,0.00764761
V,28000,0.00900632
T,28500,0.00781345
T,29000,0.00703611
V,29000,0.00878622
T,29500,0.00811372
T,30000,0.0074395
V*,30000,0.00852579
T,30500,0.00770757
T,31000,0.00754368
V*,31000,0.00811105
T,31500,0.00752924
T,32000,0.00730902
V,32000,0.00821457
T,32500,0.00800439
T,33000,0.00800548
V,33000,0.00870727
T,33500,0.00789424
T,34000,0.00737647
V,34000,0.00865085
T,34500,0.00741227
T,35000,0.00736596
V,35000,0.0084996
T,35500,0.00711781
T,36000,0.007664
V,36000,0.00852424
T,36500,0.00710482
T,37000,0.00774251
V,37000,0.00846146
T,37500,0.00708943
T,38000,0.00705718
V,38000,0.00820103
T,38500,0.00654449
T,39000,0.00724175
V,39000,0.00888032
T,39500,0.00681756
T,40000,0.00731033
V,40000,0.00816883
T,40500,0.00693289
T,41000,0.00704636
V,41000,0.00884044
T,41500,0.00756786
T,42000,0.00719023
V*,42000,0.00805423
T,42500,0.00684673
T,43000,0.00744649
V,43000,0.00852805
T,43500,0.00726708
T,44000,0.00724543
V,44000,0.0082081
T,44500,0.00786195
T,45000,0.00712055
V,45000,0.00850094
T,45500,0.00712864
T,46000,0.00751637
V*,46000,0.00802044
T,46500,0.00675713
T,47000,0.0070336
V,47000,0.0085706
T,47500,0.0075434
T,48000,0.00708674
V,48000,0.0082847
T,48500,0.00725678
T,49000,0.00699479
V,49000,0.00823565
T,49500,0.00744029
