type,step,loss
T,0,94.1462
V*,0,81.6878
T,500,0.0152096
T,1000,0.0143805
V*,1000,0.0151751
T,1500,0.0133254
T,2000,0.012996
V*,2000,0.0138522
T,2500,0.0122152
T,3000,0.0114147
V*,3000,0.0124485
T,3500,0.0115659
T,4000,0.0104512
V*,4000,0.0114491
T,4500,0.00992224
T,5000,0.00938548
V*,5000,0.0110076
T,5500,0.00975679
T,6000,0.00892409
V*,6000,0.00957736
T,6500,0.00909124
T,7000,0.00915634
V*,7000,0.00937148
T,7500,0.00936141
T,8000,0.00843605
V*,8000,0.00904245
T,8500,0.00803945
T,9000,0.00803787
V*,9000,0.00892738
T,9500,0.0080442
T,10000,0.00877335
V,10000,0.00928461
T,10500,0.00793779
T,11000,0.00759153
V*,11000,0.0085497
T,11500,0.00786234
T,12000,0.00800733
V*,12000,0.00801698
T,12500,0.00698021
T,13000,0.00787524
V*,13000,0.00781371
T,13500,0.00710107
T,14000,0.00711712
V*,14000,0.0077771
T,14500,0.00747855
T,15000,0.00727684
V*,15000,0.00753497
T,15500,0.00701791
T,16000,0.00696337
V*,16000,0.0074659
T,16500,0.00704458
T,17000,0.0069114
V,17000,0.00772324
T,17500,0.00696912
T,18000,0.00669209
V*,18000,0.00713242
T,18500,0.00651706
T,19000,0.00615468
V*,19000,0.00702554
T,19500,0.00661174
T,20000,0.00641337
V,20000,0.00734223
T,20500,0.00631293
T,21000,0.00701588
V*,21000,0.00674107
T,21500,0.00652106
T,22000,0.00629735
V,22000,0.00721063
T,22500,0.00633229
T,23000,0.0064662
V,23000,0.00739139
T,23500,0.00668131
T,24000,0.00618733
V,24000,0.00714376
T,24500,0.00607556
T,25000,0.00631909
V,25000,0.00681672
T,25500,0.00639514
T,26000,0.00619991
V,26000,0.00695142
T,26500,0.00661811
T,27000,0.00654522
V,27000,0.00727907
T,27500,0.00609487
T,28000,0.00646022
V,28000,0.00752988
T,28500,0.00610244
T,29000,0.00561622
V*,29000,0.00672301
T,29500,0.00597955
T,30000,0.00606702
V,30000,0.00676764
T,30500,0.00635918
T,31000,0.00592862
V,31000,0.00697102
T,31500,0.00599557
T,32000,0.00547687
V,32000,0.00702944
T,32500,0.00613734
T,33000,0.00575902
V,33000,0.00749289
T,33500,0.00593809
T,34000,0.00564076
V,34000,0.00702777
T,34500,0.00553324
T,35000,0.00591737
V*,35000,0.00641594
T,35500,0.00560928
T,36000,0.00572619
V,36000,0.00772399
T,36500,0.00564016
T,37000,0.00538528
V,37000,0.00672354
T,37500,0.00533738
T,38000,0.00590336
V,38000,0.00681942
T,38500,0.00535354
T,39000,0.00580519
V,39000,0.00658074
T,39500,0.00545035
T,40000,0.00561265
V,40000,0.00674223
T,40500,0.00546021
T,41000,0.00565411
V,41000,0.00687877
T,41500,0.00549277
T,42000,0.0056952
V,42000,0.00656773
T,42500,0.00538344
T,43000,0.00556747
V,43000,0.00655698
T,43500,0.00565557
T,44000,0.00539042
V,44000,0.00713735
T,44500,0.00608788
T,45000,0.00529962
V,45000,0.00650275
T,45500,0.00550901
T,46000,0.00534392
V,46000,0.00674243
T,46500,0.00530615
T,47000,0.00551698
V,47000,0.00643812
T,47500,0.00580024
T,48000,0.00500247
V*,48000,0.00633706
T,48500,0.00572662
T,49000,0.00563985
V,49000,0.00674708
T,49500,0.00560336
T,50000,0.0053702
V,50000,0.00698963
T,50500,0.00489283
T,51000,0.00527256
V*,51000,0.00617411
T,51500,0.00550637
T,52000,0.00566157
V,52000,0.00673938
T,52500,0.00522606
T,53000,0.00494259
V,53000,0.00674823
T,53500,0.00537533
T,54000,0.00540902
V,54000,0.00738537
T,54500,0.00537974
T,55000,0.00539142
V,55000,0.0078251
T,55500,0.00541498
T,56000,0.00485901
V,56000,0.00699274
T,56500,0.00534695
T,57000,0.00525308
V,57000,0.00688531
T,57500,0.00505158
T,58000,0.00514809
V,58000,0.00679458
T,58500,0.00503395
T,59000,0.0055444
V,59000,0.00796956
T,59500,0.00505341
T,60000,0.0053377
V,60000,0.00687712
T,60500,0.0050583
T,61000,0.00494449
V,61000,0.00664345
T,61500,0.00508096
T,62000,0.0050299
V,62000,0.00767506
T,62500,0.0047668
T,63000,0.00495865
V,63000,0.007532
T,63500,0.00491287
T,64000,0.00498243
V,64000,0.00677679
T,64500,0.00524065
T,65000,0.00517542
V,65000,0.00689792
T,65500,0.00558574
T,66000,0.00479847
V,66000,0.00693813
T,66500,0.00507656
T,67000,0.00506654
V,67000,0.00668322
T,67500,0.00513941
T,68000,0.00499064
V,68000,0.00697342
T,68500,0.00499132
T,69000,0.00492955
V,69000,0.00712515
T,69500,0.00517131
T,70000,0.00515322
V,70000,0.00696433
T,70500,0.00539745
T,71000,0.0051399
V,71000,0.00700557
T,71500,0.00497475
T,72000,0.00490799
V,72000,0.00699368
T,72500,0.00478344
T,73000,0.00524609
V,73000,0.00791524
T,73500,0.00536799
T,74000,0.00464041
V,74000,0.00849985
T,74500,0.00472825
T,75000,0.00522288
V,75000,0.00705581
T,75500,0.00482264
T,76000,0.00507162
V,76000,0.00668983
T,76500,0.00482276
T,77000,0.00500696
V,77000,0.00657288
T,77500,0.00516222
T,78000,0.0050936
V,78000,0.00700226
T,78500,0.00496905
T,79000,0.00484934
V,79000,0.00694162
T,79500,0.00497617
T,80000,0.00500907
V,80000,0.00798173
T,80500,0.00468363
T,81000,0.00517129
