type,step,loss
T,0,29549.6
V*,0,30817.9
T,500,18.3616
V*,500,18.6835
T,1000,8.88532
V*,1000,9.49466
T,1500,5.97923
V*,1500,7.3736
T,2000,5.62896
V*,2000,6.42309
T,2500,4.71519
V*,2500,5.61421
T,3000,5.22081
V,3000,6.05209
T,3500,6.38587
V,3500,6.91473
T,4000,5.32036
V,4000,5.88367
T,4500,4.59066
V*,4500,5.4738
T,5000,3.98862
V*,5000,4.68652
T,5500,4.27098
V,5500,4.97535
T,6000,4.65677
V,6000,5.26418
T,6500,3.61597
V*,6500,4.54147
T,7000,4.7615
V,7000,5.44442
T,7500,4.21454
V,7500,4.97036
T,8000,4.13856
V,8000,5.02453
T,8500,4.14937
V,8500,4.85482
T,9000,4.02978
V,9000,4.89557
T,9500,3.29208
V*,9500,4.31753
T,10000,4.94047
V,10000,5.69219
T,10500,3.45659
V,10500,4.54113
T,11000,3.496
V,11000,4.49802
T,11500,3.53673
V,11500,4.46849
T,12000,3.90186
V,12000,4.82835
T,12500,3.87815
V,12500,4.68921
T,13000,3.4024
V*,13000,4.28202
T,13500,2.98772
V*,13500,4.01201
T,14000,3.49848
V,14000,4.43835
T,14500,2.96952
V,14500,4.09942
T,15000,3.63721
V,15000,4.40714
T,15500,3.9956
V,15500,5.00971
T,16000,3.70997
V,16000,4.75083
T,16500,2.89997
V*,16500,3.9888
T,17000,3.23046
V,17000,4.1918
T,17500,2.76285
V*,17500,3.97813
T,18000,2.90407
V,18000,4.00115
T,18500,3.4442
V,18500,4.44334
T,19000,2.78811
V*,19000,3.93745
T,19500,2.86801
V,19500,4.09329
T,20000,2.84029
V,20000,4.20624
T,20500,3.15188
V,20500,4.40157
T,21000,2.99192
V,21000,4.04097
T,21500,2.61652
V*,21500,3.91459
T,22000,2.68962
V,22000,4.00805
T,22500,3.4567
V,22500,4.79096
T,23000,2.82484
V,23000,4.26698
T,23500,2.53925
V*,23500,3.90871
T,24000,3.15546
V,24000,4.32441
T,24500,2.7196
V,24500,4.05702
T,25000,2.88221
V,25000,4.04583
T,25500,2.48358
V,25500,3.93907
T,26000,2.94147
V,26000,4.19904
T,26500,2.55757
V,26500,4.07193
T,27000,2.48626
V,27000,4.04107
T,27500,2.91431
V,27500,4.32
T,28000,2.65004
V,28000,3.91034
T,28500,2.4586
V,28500,3.93861
T,29000,2.79613
V,29000,4.1516
T,29500,2.8806
V,29500,4.2266
T,30000,2.63668
V,30000,4.11425
T,30500,2.71297
V,30500,4.09623
T,31000,2.75665
V,31000,4.07588
T,31500,2.4874
V*,31500,3.86022
T,32000,2.41164
V,32000,4.00654
T,32500,2.43983
V,32500,3.92158
T,33000,2.84422
V,33000,4.45312
T,33500,2.47623
V,33500,4.15072
T,34000,2.44616
V,34000,4.04453
T,34500,2.77363
V,34500,4.01545
T,35000,2.55103
V,35000,4.15266
T,35500,2.52114
V,35500,3.94112
T,36000,2.27681
V,36000,3.98074
T,36500,2.37823
V,36500,3.91474
T,37000,2.41037
V,37000,3.98215
T,37500,2.39888
V*,37500,3.85611
T,38000,2.1582
V,38000,3.90763
T,38500,2.32493
V,38500,3.97174
T,39000,2.36736
V,39000,3.99164
T,39500,2.23781
V,39500,3.86377
T,40000,2.4845
V,40000,4.10821
T,40500,2.38223
V,40500,4.03479
T,41000,2.17655
V,41000,3.93677
T,41500,2.06159
V*,41500,3.7603
T,42000,2.19268
V,42000,3.85603
T,42500,2.45578
V,42500,4.05973
T,43000,2.69736
V,43000,4.0786
T,43500,2.12764
V,43500,3.81345
T,44000,2.20063
V,44000,3.90292
T,44500,2.31087
V,44500,3.97955
T,45000,2.81012
V,45000,4.36479
T,45500,2.15972
V,45500,3.96585
T,46000,2.17444
V,46000,3.9006
T,46500,2.39141
V,46500,4.05481
T,47000,2.27241
V,47000,3.94513
T,47500,2.2207
V,47500,3.9127
T,48000,2.37024
V,48000,3.97919
T,48500,2.44384
V,48500,4.15281
T,49000,2.17114
V,49000,3.8834
T,49500,2.17828
V,49500,3.79947
T,50000,2.15376
V,50000,3.76104
T,50500,2.07392
V,50500,3.77296
T,51000,2.17811
V,51000,3.94451
T,51500,2.11931
V,51500,3.85929
T,52000,2.67454
V,52000,4.21972
T,52500,2.07395
V,52500,3.84054
T,53000,2.07265
V,53000,3.97118
T,53500,2.10429
V,53500,3.90175
T,54000,1.98438
V*,54000,3.73236
T,54500,2.22972
V,54500,3.90294
T,55000,1.9992
V,55000,3.75054
T,55500,2.22111
V,55500,3.91764
T,56000,2.17779
V,56000,3.9707
T,56500,2.77486
V,56500,4.42354
T,57000,2.1489
V,57000,3.96844
T,57500,2.32855
V,57500,4.02217
T,58000,2.24277
V,58000,4.01645
T,58500,2.06372
V,58500,3.83457
T,59000,2.38434
V,59000,4.13702
T,59500,1.98958
V,59500,3.77062
T,60000,2.33336
V,60000,4.13646
T,60500,2.03986
V,60500,3.80706
T,61000,2.65541
V,61000,4.13201
T,61500,1.97793
V,61500,3.78189
T,62000,2.19157
V,62000,4.04295
T,62500,2.11078
V,62500,3.8353
T,63000,2.23737
V,63000,3.84023
T,63500,2.34939
V,63500,3.99065
T,64000,2.22006
V,64000,3.95713
T,64500,1.87718
V*,64500,3.71727
T,65000,2.00255
V,65000,3.91687
T,65500,1.80554
V,65500,3.72734
T,66000,2.00578
V,66000,3.77607
T,66500,2.00735
V,66500,3.7493
T,67000,2.23687
V,67000,4.08228
T,67500,2.00103
V,67500,3.90311
T,68000,2.04981
V,68000,3.87614
T,68500,2.06945
V,68500,3.8982
T,69000,2.01196
V,69000,3.87818
T,69500,2.15134
V,69500,3.9688
T,70000,2.08341
V,70000,3.87002
T,70500,2.00809
V,70500,3.86662
T,71000,1.87915
V,71000,3.8392
T,71500,1.82024
V,71500,3.78435
T,72000,1.80736
V,72000,3.81343
T,72500,2.00489
V,72500,3.78105
T,73000,2.25346
V,73000,3.81025
T,73500,2.18662
V,73500,4.04524
T,74000,2.04957
V,74000,3.88087
T,74500,1.84103
V*,74500,3.69373
T,75000,2.11126
V,75000,3.82956
T,75500,2.06638
V,75500,3.91813
T,76000,1.75154
V*,76000,3.65531
T,76500,2.23123
V,76500,4.03373
T,77000,1.8039
V,77000,3.75065
T,77500,2.13732
V,77500,3.94665
T,78000,1.81302
V,78000,3.66597
